,utc-dt,mmsi,sog,cog,true_heading,delta
1,2021-06-01 15:28:53,246657000,11.399999618530272,304.0,313,9.0
2,2021-06-01 15:28:53,244030516,4.800000190734863,115.9000015258789,110,-5.900001525878906
5,2021-06-01 15:28:54,245209000,3.299999952316284,106.5999984741211,104,-2.5999984741210938
10,2021-06-01 15:28:54,249522000,9.399999618530272,43.0,43,0.0
11,2021-06-01 15:28:55,244287000,25.299999237060547,96.0,92,-4.0
12,2021-06-01 15:28:55,244061000,12.0,260.6000061035156,259,-1.600006103515625
13,2021-06-01 15:28:55,305149000,5.5,111.0,112,1.0
14,2021-06-01 15:28:55,304642000,17.100000381469727,294.0,295,1.0
15,2021-06-01 15:28:55,244710324,9.0,103.9000015258789,103,-0.9000015258789062
20,2021-06-01 15:28:56,212115000,9.300000190734863,15.399999618530272,18,2.6000003814697283
21,2021-06-01 15:28:56,245209000,3.299999952316284,106.5999984741211,104,-2.5999984741210938
22,2021-06-01 15:28:56,246259000,0.5,268.29998779296875,88,-180.29998779296875
23,2021-06-01 15:28:57,538006271,6.300000190734863,61.5,60,-1.5
24,2021-06-01 15:28:57,244690814,0.2000000029802322,133.0,309,176.0
26,2021-06-01 15:28:57,244287000,25.299999237060547,94.0,85,-9.0
30,2021-06-01 15:28:58,257048880,11.5,304.6000061035156,315,10.399993896484375
32,2021-06-01 15:28:58,248753000,9.199999809265137,116.8000030517578,115,-1.8000030517577983
33,2021-06-01 15:28:58,244660000,2.200000047683716,227.1000061035156,211,-16.100006103515597
36,2021-06-01 15:28:58,249040000,8.600000381469727,42.0,46,4.0
37,2021-06-01 15:28:58,249522000,9.399999618530272,42.0,41,-1.0
38,2021-06-01 15:28:59,305149000,5.5,111.3000030517578,112,0.6999969482422017
39,2021-06-01 15:28:59,244287000,25.100000381469727,90.0,80,-10.0
40,2021-06-01 15:28:59,244030516,4.800000190734863,114.1999969482422,109,-5.199996948242202
41,2021-06-01 15:28:59,244820146,1.7000000476837158,35.0,32,-3.0
42,2021-06-01 15:29:00,245209000,3.299999952316284,106.5999984741211,104,-2.5999984741210938
44,2021-06-01 15:29:00,314416000,11.699999809265137,298.29998779296875,300,1.70001220703125
45,2021-06-01 15:29:00,636017857,8.399999618530273,114.5,114,-0.5
46,2021-06-01 15:29:01,245617000,8.300000190734863,9.300000190734863,14,4.699999809265137
